ibge7,mun,nome_meso,tot_f_meio_sm,tot_f_rdpc_154,n_f_PBF,tot_benf_PBF,ex_cinema,ex_bib,n_bib,tx_criancas_EF_adeq,tx_adol_EM_adeq,tx_EJA_EF_15m,tx_EJA_EM_18m,tx_esc_0_3,tx_esc_15_17,n_esp_mun,popul,percent_5,percent_6_17,percent_65,transf_pc_PBF,n_emp_formal,rdpc_formal,tx_mort,tx_mort_homicidio,tx_mort_homicidio_15_29,prop_priv_saude,percent_esgoto,percent_lixo,area,algodao_arb,algodao_herb,banana,batata,cafe_arab,cana,feijao,laranja,limao,manga,milho,soja,sorgo,tangerina,tomate,trigo,leite,ovos,mel
3101409,Albertina,Sul/Sudoeste de Minas,168,100,74,8.55,Não,Sim,1,75.3,40.8,0.3,0.3,24.0,57.1,3,3040,7,20,11,3.82,406,210.12,4.28,0.0,0.0,9.87,0.0,0.0,58.0,0,0,0,0,2556,0,0,0,0,0,91,0,0,0,0,0,280,4,0
3101508,Além Paraíba,Zona da Mata,3899,2216,1973,35.68,Sim,Não,0,67.4,40.6,1.5,1.4,35.8,64.4,7,35795,8,21,8,8.45,5988,256.65,8.83,8.38,10.33,17.7,0.0,100.0,510.4,0,0,100,0,0,30,36,0,0,0,288,0,0,0,0,0,7663,80,4005
3101607,Alfenas,Sul/Sudoeste de Minas,5043,2241,2441,26.62,Sim,Sim,1,79.7,57.6,1.8,1.6,44.6,81.0,45,79222,8,19,8,4.03,19490,564.66,6.98,8.84,23.65,23.47,96.0,100.0,850.4,0,0,2680,7500,14566,114400,5470,600,360,0,55800,16854,0,300,1750,0,15010,88,210
3101631,Alfredo Vasconcelos,Campo das Vertentes,857,508,463,11.27,Não,Sim,1,79.1,55.3,0.8,0.8,1.2,77.8,7,6709,8,21,9,9.2,806,162.73,5.51,0.0,0.0,6.83,0.0,0.0,130.8,0,0,0,28,0,0,48,0,0,26,540,0,0,0,1530,0,3200,6,1275
3101706,Almenara,Jequitinhonha,8025,6550,5466,58.26,Não,Sim,2,79.2,51.3,2.5,2.5,19.0,81.2,4,41552,8,20,8,21.1,4950,180.33,6.35,21.66,62.35,6.88,95.8,0.0,2294.4,0,0,160,0,440,3600,137,8,0,9,336,0,0,0,0,0,6209,48,580
3101805,Alpercata,Vale do Rio Doce,1438,1054,841,14.22,Não,Sim,1,79.6,53.9,0.9,0.9,34.3,78.1,4,7497,8,21,9,19.46,871,156.41,9.2,26.68,103.18,6.62,0.0,0.0,167.0,0,0,15,0,0,936,1,30,0,0,2390,0,0,0,60,0,4515,4,0
3101904,Alpinópolis,Sul/Sudoeste de Minas,2376,1059,921,23.09,Não,Sim,1,68.5,60.9,3.3,3.3,21.5,77.2,5,19741,8,21,9,6.3,2503,196.97,6.43,55.72,78.94,8.25,0.0,0.0,454.8,0,0,0,0,7710,144000,610,0,0,0,13000,8428,1060,0,60,0,44480,44,12380
3102001,Alterosa,Sul/Sudoeste de Minas,1507,807,735,35.16,Não,Sim,1,72.4,53.1,1.6,1.7,22.6,65.1,11,14494,8,20,9,8.18,1469,142.88,9.18,0.0,0.0,5.63,100.0,0.0,362.0,0,0,0,0,6867,27525,530,1836,0,0,15180,2400,0,0,0,0,7900,82,12300
3102050,Alto Caparaó,Zona da Mata,833,583,511,8.57,Não,Sim,1,67.4,37.5,0.6,0.6,31.6,53.8,2,5748,8,20,9,12.29,536,129.59,6.09,17.4,0.0,2.84,0.0,0.0,103.7,0,0,15,0,3880,30,15,0,0,0,133,0,0,0,0,0,472,10,0
3102100,Alto Rio Doce,Zona da Mata,2327,1932,1797,23.65,Não,Sim,1,69.3,56.3,0.6,0.6,12.4,71.5,4,11792,7,21,9,23.31,761,86.11,10.18,8.48,32.98,3.04,0.0,0.0,518.1,0,0,0,0,0,15000,330,0,0,0,1680,0,0,0,0,0,12684,202,3824
3102209,Alvarenga,Vale do Rio Doce,921,715,607,15.61,Não,Sim,1,93.7,53.7,3.1,3.0,43.8,75.5,6,4245,8,20,10,21.58,74,21.4,12.25,70.67,0.0,0.94,0.0,0.0,278.2,0,0,30,0,520,420,29,26,0,0,42,0,0,0,0,0,4432,55,0
3102308,Alvinópolis,Metropolitana de Belo Horizonte,2079,1461,1304,17.28,Não,Sim,1,68.2,50.1,1.7,1.7,23.8,63.0,4,15609,8,22,9,12.63,2396,235.92,6.79,12.81,0.0,11.55,0.0,0.0,599.4,0,0,33,0,3,5680,96,0,0,0,1224,0,0,0,0,0,13011,85,88800
3102407,Alvorada de Minas,Metropolitana de Belo Horizonte,803,571,522,27.23,Não,Sim,1,100.0,71.8,1.1,1.1,23.3,99.8,6,3669,8,21,10,25.37,413,160.64,7.36,54.51,0.0,4.33,0.0,0.0,374.0,0,0,48,0,5,420,10,0,0,0,189,0,0,0,0,0,8372,34,450
3102506,Amparo do Serra,Zona da Mata,766,594,550,18.6,Não,Não,0,68.0,39.7,0.0,0.0,0.0,64.3,4,4947,8,21,9,18.81,357,96.02,8.89,20.21,0.0,7.62,0.0,0.0,145.9,0,0,60,0,196,3920,84,0,0,0,1076,0,0,0,280,0,1916,40,1820
3102605,Andradas,Sul/Sudoeste de Minas,2239,932,884,20.73,Não,Sim,1,67.6,46.2,1.3,1.2,30.7,56.7,3,40407,8,21,8,3.06,10639,451.27,8.22,7.42,18.26,16.75,0.0,0.0,469.4,0,0,5535,2530,9950,1020,10,0,0,0,4795,92,0,26,2500,300,9452,86,950
3102704,Cachoeira de Pajeú,Jequitinhonha,2044,1764,1618,27.14,Não,Sim,1,87.9,64.6,0.6,0.7,2.0,88.4,10,9445,8,21,9,36.77,588,75.15,8.79,21.18,81.64,0.6,0.0,0.0,695.7,0,0,42,0,5,2400,94,14,0,9,100,0,0,0,0,0,1256,43,0
3102803,Andrelândia,Sul/Sudoeste de Minas,1813,1286,1143,29.68,Não,Sim,1,66.5,50.3,1.4,1.5,11.4,65.8,3,12507,8,20,9,11.82,1692,191.25,6.08,8.0,0.0,6.74,0.0,90.0,1005.3,0,0,0,0,420,4670,1628,2390,0,0,12090,4560,0,0,0,3845,29240,45,52900
3102852,Angelândia,Jequitinhonha,1841,1546,1318,23.61,Não,Sim,1,100.0,78.3,1.4,1.4,27.6,100.0,10,8502,8,21,9,38.12,590,96.97,4.59,0.0,0.0,0.71,0.0,0.0,185.2,0,0,104,0,2812,800,123,30,0,0,628,0,0,0,50,0,1234,50,2522
3102902,Antônio Carlos,Campo das Vertentes,1049,798,681,21.29,Não,Sim,1,62.6,43.4,0.7,0.8,12.7,58.3,5,11584,8,21,9,8.99,1300,160.27,6.82,8.63,0.0,11.88,0.0,100.0,529.9,0,0,0,200,0,200,136,13,0,0,2250,0,0,0,1296,0,13817,29,12400
3103009,Antônio Dias,Vale do Rio Doce,1598,1150,944,13.61,Não,Sim,1,79.4,61.9,2.9,3.0,1.1,77.6,9,9660,8,21,9,15.5,1126,191.77,7.25,41.41,0.0,9.9,0.0,0.0,787.1,0,0,62,0,1,630,9,0,0,0,54,0,0,0,40,0,3603,32,38300
3103108,Antônio Prado de Minas,Zona da Mata,254,158,127,7.58,Não,Sim,1,71.2,57.9,1.8,1.9,21.6,80.9,2,1670,7,20,11,11.94,127,118.72,6.59,0.0,0.0,4.37,0.0,100.0,83.8,0,0,11,0,70,385,5,0,0,0,105,0,0,0,0,0,3112,33,0
3103207,Araçaí,Metropolitana de Belo Horizonte,314,199,167,8.72,Não,Sim,1,85.9,65.8,0.0,0.0,25.1,80.9,2,2361,7,20,11,15.43,528,296.18,5.08,0.0,0.0,18.17,0.0,0.0,186.5,0,0,100,0,0,0,2,0,145,0,84,0,0,0,0,0,2044,16,0
3103306,Aracitaba,Zona da Mata,317,166,172,13.89,Não,Não,0,64.7,49.1,0.0,0.0,1.0,76.0,1,2112,7,19,11,10.22,217,141.08,8.52,0.0,0.0,1.28,0.0,100.0,106.6,0,0,200,0,0,2160,55,0,0,0,360,0,0,0,0,0,3288,35,0
3103405,Araçuaí,Jequitinhonha,6608,4413,4163,36.51,Sim,Sim,1,80.8,65.2,2.6,2.6,13.9,90.1,5,37317,8,21,8,17.02,3799,152.01,6.16,8.04,9.9,4.28,0.0,0.0,2236.3,0,0,9950,0,3,7560,135,120,0,480,415,0,0,0,80,0,6385,189,1640
3103504,Araguari,Triângulo Mineiro/Alto Paranaíba,9384,4765,3981,23.03,Sim,Sim,1,78.2,58.9,2.0,2.0,23.3,71.5,24,116871,8,19,8,4.75,22406,355.17,6.53,11.12,6.49,20.16,0.0,100.0,2729.5,0,0,2475,3325,27550,2160,90,0,45,0,126450,122850,12600,0,72000,4980,23800,87,21280
3103603,Arantina,Sul/Sudoeste de Minas,407,327,265,13.47,Não,Sim,1,79.3,65.2,0.7,0.7,51.5,86.1,3,2877,7,20,11,13.28,354,146.03,10.78,0.0,0.0,7.96,0.0,0.0,89.4,0,0,0,0,0,1750,2,0,0,0,15,0,0,0,0,0,1870,13,4000
3103702,Araponga,Zona da Mata,1227,872,835,17.99,Não,Sim,1,67.7,44.2,0.5,0.6,0.7,70.3,4,8523,8,21,9,13.39,443,74.03,6.22,46.93,45.25,1.36,90.0,100.0,303.8,0,0,200,0,7500,2688,372,0,0,0,2160,0,0,0,0,0,1060,36,1775
3103751,Araporã,Triângulo Mineiro/Alto Paranaíba,753,407,357,13.94,Não,Sim,1,76.2,45.8,1.8,1.9,75.8,67.5,5,6717,8,21,9,9.32,2975,1201.35,4.32,14.89,0.0,25.8,0.0,100.0,295.8,0,0,608,0,0,758000,47,0,0,0,2738,4744,1763,0,0,0,1240,22,0
3103801,Arapuá,Triângulo Mineiro/Alto Paranaíba,212,135,96,17.6,Não,Sim,1,71.0,43.7,0.0,0.0,33.4,52.6,5,2879,7,20,11,3.89,557,316.42,7.64,34.73,0.0,26.99,0.0,0.0,173.9,0,0,0,0,997,0,0,0,0,0,4,0,0,0,300,0,15639,61,400
3103900,Araújos,Central Mineira,371,155,196,11.4,Não,Sim,1,82.0,56.3,0.8,0.8,30.5,67.3,2,8885,8,21,9,3.18,1756,268.2,5.29,33.76,86.92,48.19,98.5,0.0,245.7,0,0,6,0,0,4000,12,0,0,8,70,0,0,0,0,0,22451,112,0
3104007,Araxá,Triângulo Mineiro/Alto Paranaíba,7306,3730,2909,20.64,Sim,Sim,1,83.2,57.5,2.3,2.2,61.2,80.5,13,103287,8,19,8,4.22,29362,644.87,6.89,10.65,14.5,34.92,5.1,100.0,1164.4,0,0,0,2500,4480,208000,2940,0,0,0,39480,35425,5548,0,0,2112,41840,70,600
3104106,Arceburgo,Sul/Sudoeste de Minas,497,196,195,11.86,Não,Sim,1,69.9,25.1,2.5,2.5,40.3,43.1,8,10478,8,20,9,2.93,2182,381.62,5.92,0.0,0.0,17.63,0.0,0.0,162.9,0,0,18,0,1120,50400,213,2040,0,0,3300,0,0,0,0,0,3755,370,0
3104205,Arcos,Oeste de Minas,3307,1135,978,15.6,Sim,Sim,1,73.4,59.1,1.9,1.9,35.9,73.9,13,39537,8,21,8,3.27,10303,497.08,6.65,7.59,9.33,27.5,82.0,0.0,509.9,0,0,125,0,0,116922,189,0,0,0,22250,1088,1000,0,420,0,28900,189,12180
3104304,Areado,Sul/Sudoeste de Minas,913,361,349,21.78,Não,Sim,1,74.9,56.1,2.4,2.5,22.5,67.7,7,14851,8,21,9,3.18,1706,172.85,6.94,13.47,0.0,27.45,0.0,0.0,283.1,0,0,600,0,4486,231896,170,0,0,0,12623,4394,0,0,0,0,7500,53,0
3104403,Argirita,Zona da Mata,407,230,215,19.66,Não,Sim,1,63.3,41.1,1.3,1.4,55.7,70.1,2,2874,7,20,11,11.99,439,207.75,9.05,0.0,0.0,5.6,0.0,100.0,159.4,0,0,185,0,0,0,11,0,0,0,105,0,0,0,0,0,4994,10,0
3104452,Aricanduva,Jequitinhonha,1001,775,756,15.06,Não,Sim,1,100.0,66.9,1.5,1.4,19.7,90.0,6,5156,8,22,10,22.45,235,61.61,5.82,58.18,156.83,0.58,0.0,0.0,243.3,0,0,44,0,376,1680,105,0,0,0,780,0,0,0,0,0,2822,62,1370
3104502,Arinos,Noroeste de Minas,3565,2817,2518,46.59,Não,Sim,1,96.1,79.2,4.2,4.2,30.5,100.0,2,18232,8,21,9,24.55,1400,111.1,4.28,16.45,42.72,2.29,0.0,100.0,5279.4,0,0,20,0,0,13300,6600,0,0,0,12000,12039,893,0,0,0,9380,109,6000
3104601,Astolfo Dutra,Zona da Mata,1250,656,569,18.07,Não,Não,0,61.1,44.1,1.5,1.4,16.4,59.2,4,14030,8,20,9,5.17,3933,359.06,7.41,7.13,27.72,14.1,0.0,73.2,158.9,0,0,0,0,24,837,11,3,0,1505,19,0,0,1162,90,0,3598,21,0
3104700,Ataléia,Vale do Mucuri,3450,3207,2371,34.29,Não,Não,0,73.7,41.9,1.5,1.6,12.0,67.9,7,13897,8,21,9,26.3,1006,114.91,7.77,43.17,56.09,3.35,0.0,0.0,1837.0,0,0,140,0,54,900,58,36,0,0,142,0,0,0,0,0,16002,59,5000
3104809,Augusto de Lima,Central Mineira,907,587,539,17.69,Não,Sim,1,87.4,47.3,1.3,1.4,16.6,59.7,2,5032,8,21,10,17.83,550,145.6,6.36,19.87,0.0,2.23,0.0,0.0,1254.8,0,0,70,0,0,17500,123,20,0,330,1000,0,164,21,0,0,4180,49,1820
3104908,Baependi,Sul/Sudoeste de Minas,2400,1548,1481,23.48,Não,Sim,1,70.8,57.9,1.7,1.7,19.5,76.9,5,19252,8,21,9,11.12,3304,244.99,7.48,0.0,0.0,19.89,0.0,0.0,750.6,0,0,28,0,1427,0,15,10,0,0,1760,1088,0,0,0,0,23976,42,5270
3105004,Baldim,Metropolitana de Belo Horizonte,1128,700,621,13.96,Não,Sim,2,82.3,53.3,1.2,1.3,13.9,71.0,5,8061,8,21,9,12.51,1280,236.91,8.56,12.41,47.86,5.81,0.0,0.0,556.3,0,0,312,0,0,2844,74,12,20,905,2385,1248,6,4,1800,0,3543,47,0
3105103,Bambuí,Oeste de Minas,1513,615,531,24.99,Não,Sim,1,62.2,71.4,3.1,3.2,26.4,90.0,11,23936,8,20,9,2.76,4042,321.01,8.27,0.0,0.0,14.3,0.0,0.0,1455.8,0,0,63,0,4200,784000,2452,207,0,0,49800,21315,945,11,54,137,44134,213,46460
3105202,Bandeira,Jequitinhonha,1042,805,788,25.71,Não,Sim,1,76.3,51.7,2.2,2.4,15.8,71.5,3,5001,7,21,10,26.89,352,89.81,5.2,20.0,0.0,0.86,0.0,100.0,483.8,0,0,90,0,72,576,216,0,0,0,60,0,0,0,0,0,3356,18,500
3105301,Bandeira do Sul,Sul/Sudoeste de Minas,461,123,144,13.8,Não,Sim,1,80.8,57.4,0.6,0.6,41.8,69.6,5,5708,8,21,9,3.55,895,203.21,7.53,17.52,69.34,13.26,0.0,0.0,47.1,0,0,38,0,543,0,16,0,0,0,94,109,0,0,0,0,635,11,280
3105400,Barão de Cocais,Metropolitana de Belo Horizonte,2704,1825,1522,13.37,Não,Sim,1,76.8,54.2,1.4,1.5,21.7,80.5,7,31628,8,20,8,7.39,4177,276.95,6.23,6.32,0.0,32.06,0.0,0.0,340.6,0,0,340,0,2,2700,3,0,0,0,50,0,0,0,0,0,1524,28,33700
3105509,Barão de Monte Alto,Zona da Mata,952,701,541,11.76,Não,Sim,1,76.7,51.8,1.1,1.2,40.9,70.7,3,5676,8,22,9,16.35,592,140.14,6.52,0.0,0.0,3.17,0.0,0.0,198.3,0,0,0,0,0,282,5,0,0,0,32,0,0,0,0,0,8297,14,1775
3105608,Barbacena,Campo das Vertentes,12570,7011,5599,20.04,Sim,Sim,1,72.0,63.9,1.3,1.3,22.7,86.9,3,135829,7,19,8,5.46,26646,383.81,7.26,5.15,11.15,25.07,0.0,0.0,759.2,0,0,360,1160,0,180,1021,510,15,86,7776,0,0,270,9620,0,22212,388,17345
3105707,Barra Longa,Zona da Mata,980,793,675,27.29,Não,Sim,1,58.6,34.1,0.8,0.8,15.7,57.5,0,5710,8,22,10,22.77,536,133.86,9.98,0.0,0.0,10.95,0.0,0.0,383.6,0,0,27,0,0,17580,67,0,0,0,470,0,0,0,0,0,8516,52,11000
3105905,Barroso,Campo das Vertentes,3433,2224,1757,15.56,Não,Sim,1,78.9,51.3,1.6,1.6,33.0,75.3,9,20790,8,21,9,14.56,2993,324.68,7.12,4.81,0.0,24.83,0.0,0.0,82.1,0,0,116,0,0,1240,24,0,0,0,241,0,0,0,0,0,4171,15,0
3106002,Bela Vista de Minas,Metropolitana de Belo Horizonte,1205,762,681,15.0,Não,Sim,1,75.7,51.0,2.3,2.4,29.6,69.9,4,10399,8,21,9,10.58,1161,209.66,7.79,0.0,0.0,15.76,0.0,0.0,109.1,0,0,0,0,0,282,2,0,0,0,0,0,0,0,0,0,881,7,42400
3106101,Belmiro Braga,Zona da Mata,398,212,169,16.35,Não,Sim,1,64.5,39.3,3.4,3.0,0.6,79.6,2,3502,7,21,10,8.26,494,195.59,10.28,0.0,0.0,6.05,0.0,0.0,393.1,0,0,110,0,0,779,8,10,0,7,83,0,0,0,0,0,4914,37,1000
3106200,Belo Horizonte,Metropolitana de Belo Horizonte,119871,71184,60908,16.74,Sim,Sim,21,66.8,54.2,2.1,1.9,32.6,76.6,283,2513451,8,21,9,3.58,1176985,1612.5,6.18,22.4,55.07,48.64,82.8,0.0,331.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,3,0
3106309,Belo Oriente,Vale do Rio Doce,3782,3131,2249,19.15,Não,Sim,1,76.5,49.4,2.0,2.0,35.0,70.7,9,25895,8,20,8,15.96,6415,649.97,4.83,57.93,179.04,14.3,0.0,0.0,334.9,0,0,91,0,0,2700,36,2,100,0,210,0,0,16,0,0,2773,26,87200
3106408,Belo Vale,Metropolitana de Belo Horizonte,986,538,479,16.26,Não,Sim,1,67.4,43.6,1.6,1.7,16.1,64.5,1,7829,8,22,9,8.17,747,146.49,7.15,12.77,49.24,11.39,0.0,100.0,365.9,0,0,30,0,0,1000,27,96,0,0,229,0,0,28059,0,0,6264,65,7600
3106507,Berilo,Jequitinhonha,2013,1435,1440,11.62,Não,Sim,1,74.3,69.6,2.1,2.3,18.6,87.7,9,12394,8,21,9,19.25,483,60.45,4.68,0.0,0.0,1.38,0.0,0.0,587.1,0,0,132,0,2,3535,43,37,0,0,273,0,0,3,0,0,1340,58,7100
3106606,Bertópolis,Vale do Mucuri,1181,977,788,17.11,Não,Sim,1,79.2,59.4,0.0,0.0,0.3,92.8,4,4671,9,21,10,37.15,335,75.11,7.06,0.0,0.0,1.18,0.0,0.0,427.8,0,0,5,0,0,175,52,0,0,0,73,0,0,5,0,0,4850,12,0
3106655,Berizal,Norte de Minas,1130,998,792,9.66,Não,Sim,1,93.7,61.4,0.0,0.0,14.9,78.2,4,4691,8,21,10,38.62,412,104.56,4.9,0.0,0.0,0.6,0.0,0.0,488.8,0,0,34,0,182,400,78,10,0,0,58,0,0,0,0,0,447,24,0
3106705,Betim,Metropolitana de Belo Horizonte,35341,21948,18219,14.3,Sim,Sim,4,83.6,62.6,2.7,2.6,32.5,84.0,58,422354,8,20,6,6.59,100771,714.89,4.96,49.25,111.9,34.67,61.4,0.0,342.8,0,0,36,0,0,1472,30,0,28,0,115,0,0,0,150,0,1545,34,2490
3106804,Bias Fortes,Zona da Mata,596,497,400,12.5,Não,Sim,2,61.3,47.0,1.3,1.4,1.8,59.2,2,3648,8,20,10,17.96,295,100.7,7.4,27.41,110.76,2.19,0.0,0.0,283.5,0,0,0,0,0,120,20,0,0,0,170,0,0,0,0,0,6950,28,2000
3106903,Bicas,Zona da Mata,1122,653,604,35.25,Sim,Sim,1,67.0,37.8,2.3,1.8,25.4,72.3,2,14481,8,20,9,6.96,2733,223.41,9.81,0.0,0.0,19.63,0.0,100.0,140.1,0,0,0,0,0,1080,4,0,0,0,2,0,0,0,0,0,3055,8,110
3107000,Biquinhas,Central Mineira,414,328,196,23.16,Não,Não,0,51.0,46.4,2.0,2.1,31.7,60.6,2,2630,7,20,11,12.54,331,174.67,5.32,0.0,0.0,4.6,0.0,0.0,458.9,0,0,14,0,0,600,0,10,0,8,750,0,0,9,0,0,11633,33,366
3107109,Boa Esperança,Sul/Sudoeste de Minas,4531,1437,1338,29.13,Sim,Sim,1,79.2,57.4,2.2,2.1,42.7,77.5,3,40412,8,21,8,5.02,7068,258.67,8.12,12.37,9.15,9.6,100.0,0.0,860.7,0,0,70,0,26570,360,1176,0,0,0,35850,13300,0,56,0,3510,20834,211,10560
3107208,Bocaina de Minas,Sul/Sudoeste de Minas,715,588,486,16.39,Não,Sim,1,43.3,30.2,0.4,0.4,1.2,45.8,0,5180,8,22,9,19.26,609,149.87,6.56,0.0,0.0,1.68,0.0,0.0,503.8,0,0,0,0,0,576,18,0,0,0,152,0,0,0,0,0,7610,34,9280
3107307,Bocaiúva,Norte de Minas,8151,6044,5190,24.88,Não,Sim,1,91.6,70.4,2.0,2.1,42.8,84.5,17,49891,8,20,8,17.63,7075,214.37,6.31,16.03,15.28,7.99,0.0,0.0,3227.6,0,0,1106,0,243,26700,430,35,10,20,2584,0,0,27,150,0,10380,403,211529
3107406,Bom Despacho,Central Mineira,3747,1723,1590,20.37,Não,Sim,1,78.3,57.1,2.3,2.3,43.6,75.5,17,49650,8,20,8,4.54,11081,351.73,6.26,22.16,22.99,21.72,0.0,0.0,1223.9,0,0,48,0,0,117600,1020,1800,15,0,8850,5208,0,0,0,0,73445,5624,9150
3107505,Bom Jardim de Minas,Sul/Sudoeste de Minas,1032,660,592,36.28,Não,Sim,1,69.4,60.4,1.2,1.3,14.2,91.1,4,6648,8,21,9,13.08,879,195.77,9.93,15.04,0.0,12.39,0.0,100.0,412.0,0,0,0,0,0,270,15,0,0,0,120,0,0,0,360,0,4523,8,2425
3107604,Bom Jesus da Penha,Sul/Sudoeste de Minas,472,273,203,16.84,Não,Não,0,74.3,54.5,0.0,0.0,78.6,60.2,7,4177,8,22,10,7.37,559,231.39,6.94,23.94,0.0,2.66,0.0,0.0,208.3,0,0,0,510,4700,0,48,0,0,0,15050,12540,1525,0,41,540,9596,60,980
3107703,Bom Jesus do Amparo,Metropolitana de Belo Horizonte,691,446,373,14.3,Não,Sim,1,82.9,53.5,0.3,0.3,35.4,75.8,3,5972,8,21,9,10.58,1001,206.21,7.2,0.0,0.0,6.06,95.3,0.0,195.6,0,0,1800,0,3,3111,1,0,10,0,102,0,0,232,0,0,2990,46,2500
3107802,Bom Jesus do Galho,Vale do Rio Doce,3109,2471,2147,26.69,Não,Sim,1,72.8,42.2,0.7,0.8,2.4,57.5,5,15500,8,22,9,21.89,821,68.47,7.61,12.9,25.13,4.39,0.0,0.0,592.3,0,0,390,0,1400,9000,119,13,5,0,1600,0,0,16,0,0,8125,127,4650
